name,link,release_date,expiry_date,hours,para
"Dental Radiology: Controlling Infection, Updated 1st Edition",https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"uly 31, 2013","1, 2016","Expiration Date: May 31, 2019","Although there is no direct evidence indicating that dental radiographic procedures are a major cause of disease transmission, dental professionals cannot ignore infection control practices in dental radiology. Both digital and film-based radiography pose opportunities to cross-contaminate equipment and environmental surfaces with blood or saliva. The Centers for Disease Control and Prevention and the American Dental Association have addressed specific infection control practices to decrease the potential for cross-contamination in dental radiology and reduce the likelihood of disease transmission."
"Dental Radiography: Understanding Radiation Exposure and Safety, 2nd Ed.",https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"uly 30, 2013","er 11, 2016","Expiration Date: October 10, 2019","It is important for a clinician to take dental radiographs based on patient need, and not simply based on routine. Clinicians who take radiographs based on need are providing total quality of care to their dental patients. The decision to order radiographs should be based on several factors, including the patient's age, dental health, and diet."
Dental Ethics: A 1-hour Overview for Iowa Dental Professionals,https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"ugust 28, 2018","ugust 28, 2021",This course satisfies the 1-hour Iowa jurisprudence requirement.,"This course provides dental professionals strong understanding of dental ethics, professionalism, and current ethical challenges, with a particular emphasis on the impact of the digital age. Dentists, Dental Hygienists, and Dental Assistants will learn the tools to recognize and navigate the complex ethical issues that may arise in practice."
"Dental Radiation Health: Safety and Protection in the Digital Age, 2nd Edition",https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"nuary 27, 2017","anuary 26, 2020","Original Release Date: March 31, 2014","Radiation safety remains a top concern for the general public, and the dental professional needs to stay up to date on the latest research and current thinking on radiation safety and protection. This basic-level course reviews the biologic effects of radiation, the methods used in radiation measurement, and the potential sources of radiation exposure. This course discusses radiation safety and protection measures for both patients and dental healthcare workers. Perhaps most important, this course prepares all dental professionals â€“ including dentists, dental hygienists, and dental assistants â€“ to accurately respond to patient questions and concerns about radiation safety in dentistry."
Dental Ethics in the Digital Age VIDEO Course,https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"ctober 25, 2018","ctober 25, 2021",VIDEO COURSE  |  ,"The practice of dentistry is multifaceted. Not only must dental professionals have the technical skills to treat patients appropriately and safely, they must also practice within a professional ethical framework that is sometimes more challenging than the dental procedures themselves. This "
Dental Radiation Health: Safety and Protection in the Digital Age Updated 1st Edition,https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"bruary 3, 2017","ebruary 2, 2020","Original Release Date: June 10, 2014","Radiation safety remains a top concern for the general public, and the dental professional needs to stay up to date on the latest research and current thinking on radiation safety and protection. This basic-level course reviews the biologic effects of radiation, the methods used in radiation measurement, and the potential sources of radiation exposure. This course discusses radiation safety and protection measures for both patients and dental healthcare workers. Perhaps most important, this course prepares all dental professionals â€“ including dentists, dental hygienists, and dental assistants â€“ to accurately respond to patient questions and concerns about radiation safety in dentistry."
"Dental Public Health Practice, Infrastructure, and Workforce in the United States",https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"anuary 10, 2019","anuary 10, 2022","Veronica Powers, DMD","Dental Public Health (DPH) and the private practice model of care delivery together bear the responsibility of assuring optimal oral health for all Americans - individuals and populations. One of the greatest barriers to oral health care is a lack of dental services. This can be called the greatest unmet oral health need in the United States. This intermediate-level course, appropriate for all dental professionals, outlines dental public health, its focus, infrastructure and how the dental public health workforce strives to improve populations oral health."
Dental Management of Patients Who Have Undergone Oral Cancer Therapy,https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"ugust 29, 2018","ugust 29, 2021","Veronica Powers, DMD","Cancer patients have a high risk of oral complications due to chemotherapy and radiation. These therapies upset the healthy balance of bacteria in the mouth, and cause changes in the lining of the mouth and the salivary glands."
"Dental Management for Pediatric Patients with Complex Needs, 2nd Edition",https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"ptember 26, 2018","eptember 26, 2021","Original Release Date: May 21, 2012","Pediatric patients with complex healthcare needs are a unique and growing population. Given the current awareness that dental caries are still a significant problem in the pediatric population and that they result from an imbalance of multiple factors, the dental team has the responsibility to identify and educate patients and their families about this disease. This intermediate-level course provides dentists, dental hygienists, and dental assistants with information on selected morbidities that are typical in children and adolescents, and aids clinicians in developing rational thought processes for gathering information from these patients and their caregivers."
"Dental Implants: Complications and Peri-Implant Diseases, 2nd edition",https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"ly 11, 2018","uly 11, 2021","Original Release Date: June 26, 2015","Dental implants are an established treatment modality in dentistry with a high rate of success and few complications. However, complications do occur despite careful treatment planning and meticulous execution of clinical procedures. Surgical complications that can occur include infection, bleeding, wound dehiscence, primary instability of the implant, neurosensory changes, and tissue emphysema. After the implant is osseointegrated, other complications may arise, including inflammatory peri-implant lesions. All these conditions increase the risk of poor outcomes, including implant loss. This intermediate-level course addresses complications associated with dental implants and reviews selective options for their management."
"Dental Ethics and the Digital Age: 2 Hour, Updated 1st Edition",https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"gust 28, 2018","ugust 28, 2021","Original Release Date: December 31, 2015","The practice of dentistry is multifaceted. Not only must dental professionals have the technical skills to treat patients appropriately and safely, they must also practice within a professional ethical framework that is sometimes more challenging than the dental procedures themselves. This basic-level course helps dental professionals gain a better understanding of dental ethics, professionalism, and current ethical challenges to the profession, with particular emphasis on the impact of the digital age. Dental professionals may be eager to incorporate the latest technologies into their practices and into their private lives, but must consider the ethical implications of doing so."
"Dental Erosion: Causes and Preventive Practices, 2nd Edition",https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"uly 30, 2013","mber 19, 2016","Expiration Date: September 18, 2019","Dental erosion is a progressive loss of dental hard tissue caused by chemical processes without involvement of bacteria. This enamel dissolution is an irreversible process not directly associated with mechanical or traumatic factors, which distinguishes it from other types of wear, such as attrition (loss of tooth structure due to clenching or grinding), abrasion (mechanical loss of tooth structure caused by a foreign element), or abfraction (loss of tooth structure at the gumline due to occlusal forces). The clinical features of dental erosion appear as well-defined, wedge-shaped areas facially and cervically. The occurrence of enamel erosion lesions is associated primarily with intrinsic and extrinsic acids."
"Dental Ethics and the Digital Age: 3 Hour, Updated 1st Edition",https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"gust 7, 2018","ugust 7, 2021","Original Release Date: January 28, 2016","The practice of dentistry is multifaceted. Not only must dental professionals have the technical skills to treat patients appropriately and safely, they must also practice within a professional ethical framework that is sometimes more challenging than the dental procedures themselves. This basic-level course helps dental professionals gain a better understanding of dental ethics, professionalism, and current ethical challenges to the profession, with particular emphasis on the impact of the digital age. Dental professionals may be eager to incorporate the latest technologies into their practices and into their private lives, but must consider the ethical implications of doing so."
"Contemporary Management of Traumatic Dental Injuries, 2nd Edition",https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"tober 16, 2018","ctober 16, 2021","Original Release Date: October 22, 2015","Traumatic dental injuries (TDI) are commonly encountered in dental practice. This course presents the epidemiology, prevention, general treatment considerations, and protocols for management of the full array of TDI, allowing the dental team to triage, treat, and provide appropriate follow-up care for these injuries."
Complications Associated with Oral Surgery,https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"uly 31, 2013"," 2, 2016","Expiration Date: June 1, 2019","This course addresses common complications associated with oral surgical procedures and outlines the evidence-based methods to prevent, minimize, or manage them. Patient education about what to expect postoperatively helps minimize emergency after-hours phone calls and the need for additional treatment. Proper techniques of postoperative pain or infection control may also facilitate the healing process and reduce both postoperative complications for patients and stress for practitioners."
Complete Dentures: A Review for the Dental Professional,https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"anuary 31, 2018","anuary 30, 2021","Jeffrey L. Tarlow, DDS","The continuing need for denture treatment in the Unites States means a necessary relevance for updated concepts and procedures in dental curriculums. New light has been shed on different denture treatment approaches, such as digital technology, which is likely to be more commonplace for the near future. Such modern techniques may not have been initially taught to current practitioners in the field."
"California Dental Practice Act, 5th Edition",https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"y 22, 2018","ay 22, 2021","Original Release Date: May 30, 2014","The California Dental Practice Act is the set of regulations that governs dentists, dental hygienists, and dental assistants. This course provides an overview of these governmental entities and outlines the content of the Dental Practice Act, its attending regulations, and other statutes relating to dental practice. The content of this basic-level course was derived primarily from the State of California Department of Consumer Affairs Dental Practice Act, California Code of Regulations, and California Dental Association Code of Ethics. With a more complete understanding of this Dental Practice Act, all dental team members will be better able to practice within its guidelines."
"Chronic Pain Management for the Dental Practice, Updated 1st edition",https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"ne 12, 2018","une 12, 2021","Original Release Date: April 22, 2015","Pain is a basic human response and a major trigger to seeking health care. Although all dentists are trained in managing acute pain, far fewer dentists are trained in treating, chronic pain conditions. Yet chronic orofacial pain is common and may occur after routine dental procedures. This intermediate-level course provides dental healthcare professionals with an overview of the nature and scope of chronic pain, as well as basic skills for effective assessment and adjunctive treatments of chronic orofacial pain conditions and related problems. "
"Chemical Dependency & Substance Abuse: A Review for the Dental Professional, 2nd Ed.",https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"uly 30, 2013","ber 2, 2016","Expiration Date: November 1, 2019","In 2013, an estimated 24.6 million Americans aged 12 or older - 9.4 percent of the population - had used an illicit drug, and an estimated 22.7 million Americans (8.6 percent) needed treatment for a problem related to drugs or alcohol. In 2015, the U.S. Drug Enforcement Administration made more than 31,000 drug-related arrests, and in 2014, seized nearly 3,000 kg of methamphetamine and close to 50,000 dosage units of hallucinogens."
CDC and the Practice of Dental Hygiene: Review of the 2003 Guidelines & 2016 Summary,https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"ugust 11, 2017","ugust 10, 2020","Marie T. Fluent, DDS, ","The purpose of this course is to familiarize the dental hygienist with the document Guidelines for Infection Control in Dental Health-Care Settings, 2003. The 2016 CDC document, Summary of Infection Prevention Practices in Dental Settings: Basic Expectations for Safe Care will be introduced and discussed, and new information relevant to the practice of dental hygiene published by CDC since 2003 will be presented."
"Caries-Prone Patients: Prevention, Assessment, and Intervention",https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"uly 5, 2016","uly 4, 2019","Elena Francisco, RDH, RDHAP, MSDH, ","Dental caries is a preventable disease that affects a majority of the population. Statistics show the increase in caries incidence over time, making it important for dental professionals to develop strategies for determining caries risk and counseling patients to reduce risk and a future of dental caries. The impact of nutrition on the caries process is known in the dental field, but dental professionals need to continue to convey the importance of this relationship to patients. At-risk patients are identified through patient nutritional assessment and appropriate diet changes for caries prone patients are recommended. The course identifies the factors that influence patient diet choices including food availability and convenience, parental influence, habit, cost, and media. Personalized patient care and education to decrease incidence of caries are discussed."
"Caries Management by Risk Assessment: CAMBRA in Dental Practice, 2nd Edition",https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"gust 3, 2018","ugust 3, 2021","Original Release Date: July 5, 2011","This basic-level course provides a comprehensive overview of the evolution of caries management and applies the concepts of CAMBRA. This course will help dental practitioners become better equipped to halt the progression of caries with as little hard tissue damage as possible, thereby benefiting their patients. And the learner will be introduced to different protocols in order to treat caries using the medical model."
Bonding Systems for Dentin in Adhesive Dentistry,https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"cember 27, 2017","ecember 26, 2020","Original Release Date: March 3, 2011","After completing this basic-level course, dental professionals will understand the history of adhesive bonding systems and will be able describe the necessary conditions for ideal adhesive bonding. Dental professionals will also gain a basic understanding of different dental adhesive systems and understand the advantages and disadvantages of each."
Benign Jaw Lesions,https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"ugust 10, 2016","ugust 9, 2019","Veronica Powers, DMD, ","Although benign conditions are non-cancerous, some benign conditions of the oral cavity may look like cancer or precancerous conditions. Often, patients have symptoms that include swelling, pain, tenderness, and unexplained tooth mobility; some tumors are discovered on routine dental x-rays, whereas others are found on routine examinations of the oral cavity and teeth. These tumors can impinge on local structures, causing damage to otherwise healthy tissue. Therefore it is important for the dental team to recognize the symptoms and radiographic presentations of lesions in order to treat affected patients or refer them in a timely manner."
"Application and Removal of Dental Dams, 3rd Edition",https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"arch 13, 2019","arch 13, 2022","Ellen Dietz-Bourguignon, BS, CDA-Emeritus","This basic-level course is designed for dentists, dental hygienists, and dental assistants interested in becoming more knowledgeable and proficient in the use and application of dental dams. The course outlines the benefits of using dental dams in clinical practice, provides an overview of the types of dental dams currently available, and describes the equipment needed to use dams successfully. The steps for standard, quickdam, and slit dam application, inversion, and removal are identified. Minor challenges, such as maneuvering around a bridge, are also addressed."
Step-Down of Inhaled Steroids in Controlled Asthmatics,https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"eptember 27, 2016","ctober 1, 2019",VIDEO COURSE - ,"Led by Dr. Sunil Joshi at the Association of Asthma Educators Conference in August of 2016, this presentation educates respiratory therapists and other health care professionals working with asthmatic patients on the topic of stepping down medication. When to step down, reasons why to step down, and reasons why not to step down are covered. Also addressed is how to step down as well as the controversies surrounding this complex topic without any single ""one-size-fits-all"" approach."
"Alzheimer's Disease: Challenges, Interventions, and Approaches to Care",https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"anuary 22, 2019","anuary 22, 2022","Jacqueline Close, PhD, APRN, GCNS-BC, FNGNA","The growth of the older adult population is expected to rise dramatically with the aging of the baby boomer generation, the first members having turned 70 in 2016. Because age is a significant risk factor for developing Alzheimer's disease (AD), the incidence of this devastating disease is also expected to rise in the United States. This course focuses on the key components of assessment and interventions specific to patients experiencing dementia. The knowledge gained from completion of the course provides healthcare providers with the information and tools to recognize the complexity of issues surrounding a progressive diagnosis of AD."
Quality Improvement in Asthma Care: Opportunities for Healthcare Professionals,https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"eptember 30, 2016","ctober 1, 2019",VIDEO COURSE - ,"Led by Dr. Xan Nowakowski at the Association of Asthma Educators Conference in August of 2016, this interactive presentation educates respiratory therapists and other health professionals working with asthma patients on the topic of quality improvement (QI) relating specifically to asthma. By engaging the audience to talk about what they have done to improve the quality of care or access to care for people with asthma, concrete ideas emerge. Learning from and building upon real world successes from other health care providers promotes idea sharing of how to implement more integrative, coordinated, community-engaged approaches to care reform."
"Allergic Reactions to Metals in the Mouth, 3rd Edition",https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"ebruary 20, 2019","ebruary 20, 2022","J. Anthony von Fraunhofer, MSc, PhD, FRSC","A wide variety of materials used for the construction of dental restorations, prostheses, and dental implants have the potential to cause allergic reactions among dental patients. This basic-level course reviews the importance of metals for human health, identifies common harmful metals and their role in disease, and discusses hypersensitivity reactions, with particular regard to metal allergies in medical and dental patients. Such an understanding will help dental professionals make better-informed decisions about which biomaterials are the safest and most effective."
Virus Infections: Persistent and Emerging,https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"une 13, 2017","une 27, 2020","Traci Marin, PhD, MPH, RRT, RPGST, ","Emerging and re-emerging viral infections, which include outbreaks of previously unknown pathogens or new strains of known viruses, continue to pose significant threats and challenges to human well-being globally. The convergence of these known and other less known viruses contributes to a variety of factors that enables them to expand their spectrum of activity. Such factors include mutations, the development of environmental conditions that help to spread the disease agents, the availability of an ever increasing range of susceptible hosts, and the lack of effective laboratory detection testing methods. An awareness of these factors together with current knowledge of their existence and effects is essential to control and prevention."
"Tracheotomy, 2nd Edition",https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"ugust 22, 2017","ugust 22, 2020","Lisa Conry, RRT, ","This advanced  course begins with an outline and description of the indications, contraindications and complications of a tracheotomy. It follows with a discussion of the surgical procedure, equipment and supplies, and management strategies relating to a tracheotomy. Other important topics in this course include preparation for surgical procedure, position of the tracheostomy tube on chest x-ray, landmarks, Seldinger method, ventilator-associated pneumonia (VAP), routine and emergency tracheostomy tube change. Specialty tracheostomy tubes are also discussed in this course. They include laryngectomy tubes, armored wire spiral-lined tubes, tight-to-shaft tubes, fenestrated tubes, foam cuff tubes, metal tracheostomy tubes, speaking tracheostomy tubes, Olympic Button, Kistner Valve, and Montgomery Valve. Clinical practice exercise and post-test questions are provided to reinforce attainment of learning objectives."
"Aesthetic Indirect Inlays and Onlays, 2nd Edition",https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"tober 29, 2018","ctober 29, 2021","July 30, 2015","In today's aesthetically conscious world, more patients demand restorations that mimic the color and appearance of their natural teeth and therefore project an image of health and wellness. This basic-level course describes the evolution of aesthetic direct posterior restorative materials and their limitations and goes on to identify the characteristics, indications, and limitations of aesthetic indirect inlays and onlays. Through the use of clinical case reports, dental professionals learn the steps needed to properly execute aesthetic indirect inlays and onlays, thereby expanding their clinical armamentarium."
A Review of HIV/AIDS for Dental Professionals,https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"nuary 18, 2018","anuary 18, 2021",California Dental Professionals,"This intermediate-level course begins with a foundational review of the epidemiology and pathogenesis of HIV/AIDS, the modes of transmission, and methods of prevention in the dental healthcare setting."
Pennsylvania Child Abuse Recognition and Reporting,https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"ay 22, 2017","ay 22, 2020",Pennsylvania,"This course offers an overview of the historically evolving role of mandated reporters and a description of child welfare services in Pennsylvania. It provides healthcare professionals with details of the legal requirements imposed on mandated reporters of child abuse. The course defines the statutory (legal) components of child abuse, including what does and does not constitute child abuse. Human trafficking is also addressed, including child labor trafficking and sex trafficking, and the risk factors and warning signs for both. The course provides health-related licensees in the Commonwealth of Pennsylvania with the knowledge and tools they need to fulfill their legal responsibility to report suspected child abuse."
"Pulmonary Rehabilitation, 3rd edition",https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"pril 23, 2018","pril 23, 2021","David Chang, EdD, RRT-NPS","Pulmonary Rehabilitation is a continuing education course designed to provide current information on COPD patients and pulmonary rehabilitation. Key topics in this course include: goals of pulmonary rehabilitation, pulmonary rehabilitation program and setting, admission criteria, initial patient evaluation, exercise testing, 6-minute walk test, breathing techniques and chest physical therapy, psychosocial measures, nutritional interventions, collaborative self-management and patient centered, cross-continuum disease management. Pre- and post tests are provided for outcome assessment. A list of current references is available for further reading."
"Pulmonary Function Testing, 2nd Edition",https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"une 29, 2017","une 29, 2020","Lisa Conry, MA, RRT, ","Pulmonary function evaluations benefit many types of patients. Pulmonary disease may frequently be detected by testing years before the onset of signs or symptoms. The early detection of pulmonary disease can be a strong influence in a patient's decision to quit smoking, which reduces the risk of both cardiovascular disease and worsening pulmonary disease. Comparing tests helps the physician determine whether a specific therapeutic regimen is beneficial. Shortness of breath is a common complaint among patients, and pulmonary function tests can help differentiate between cardiac and pulmonary causes. Pulmonary function tests that are performed before a planned surgery help reduce the incidence of postoperative pulmonary complications by identifying patients at increased risk. Finally, patients who report that their ability to work is limited by shortness of breath can be objectively evaluated with pulmonary function tests; the results are sometimes used to document disability in insurance claims."
Pulmonary Edema 2nd Edition,https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"anuary 19, 2018","anuary 19, 2021","Traci Marin, PhD, MPH, RRT, RPGST","This intermediate-level course provides advanced respiratory care practitioners with up-to-date continuing education on the pathophysiologic processes, clinical findings, diagnoses, etiologic factors, and current trends in the management of pulmonary edema."
"Pulmonary Anatomy and Physiology, 2nd Edition",https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"uly 18, 2017","uly 18, 2020","William Wojciechowski, MS, RRT, NPS, ","This basic-level course provides respiratory therapists with a review of the concepts and principles of anatomy and physiology that apply to clinical practice. This course reviews the structure (anatomy) and function (physiology) of the respiratory system. Structure is covered beginning with a description of the thoracic cage and thoracic cavity, followed by a discussion of lung structures. A description of the airways, alveoli, and the alveolar-capillary membrane is then provided. Physiology related to the pulmonary system is then described. The process of bulk air movement and lung volumes and lung capacities are discussed. Dead space, defenses of the lung, alveolar stability and expansion, and diffusion are also presented. The course concludes with a description of O2 transport, CO2 transport, and neural control of the lungs."
"Preventing Medical Errors and Promoting Patient Safety, 2nd Edition",https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"une 18, 2018","une 18, 2021",Florida,"Respiratory therapists are responsible for the assessment and treatment of all cardiopulmonary patients. The purpose of this course is to present the concepts and issues related to patient safety and medical errors, as well as to explore the changes that are necessary for the development of a culture of safety. The National Board for Respiratory Care (NBRC) assesses the respiratory therapist's knowledge of nationally recognized patient safety concepts as part of the credentialing exams. Upon completion of this course, the participants will demonstrate an increased level of knowledge surrounding patient safety and medical errors, providing applicable knowledge to the clinical setting."
"Obstructive Sleep Apnea and Other Sleep Disorders, 2nd Edition",https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"pril 23, 2018","pril 23, 2021","Jarrod Rowe, RPSGT, RST",This intermediate level course offers respiratory therapists an overview of current polysomnography scoring guidelines as they relate to common sleep disorders. The basic anatomy and physiology of sleep as well as pathophysiology and intervention of sleep disorders are also discussed.
Innovations in Asthma Research and Scholarship,https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"eptember 30, 2016","ctober 1, 2019",VIDEO COURSE - ,"This course highlights the best in asthma research scholarship, featuring: an award-winning regional asthma management program; a program funded by the American Lung Association focusing on asthma and weight management intervention for overweight and obese children with asthma and their guardian(s); and a lively, evidence-based online asthma education program. The leader of each initiative, ranging from a respiratory therapist to a pediatric psychologist, walks you through their research and findings in this group presentation."
Physiology of Acid-Base Balance and Arterial Blood Gas Interpretation: A Review,https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"ctober 20, 2017","ctober 20, 2020","Traci Marin, PhD, MPH, RRT, RPGST, ","This intermediate-level course offers respiratory therapists and other healthcare providers a review of detailed arterial blood gas (ABG) interpretation and various physiological processes essential for acid-base regulation including basic chemistry, lung function, hemodynamics and renal function."
Nicotine Addiction: From Tobacco to E-Cigarettes,https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"pril 20, 2017","pril 20, 2020","David W. Chang, EdD, RRT, CTTS, ","The use of e-cigarettes (also broadly called ""electronic nicotine delivery systems"" or ""electronic smoking devices"") is a new tobacco consumption phenomenon in the United States, China, and many other countries. There are numerous economic, social, physiologic, medical, legal, and political issues on the production, marketing, sale, use, and regulation of e-cigarettes. There are also many questions regarding their safety and long-term health effects. For healthcare providers, a basic knowledge of e-cigarettes is needed so that accurate and up-to-date scientific information can be provided to patients."
"Neonatal Respiratory Care: Essential Care, 2nd Edition",https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"ay 24, 2018","ay 24, 2021","Jean Newberry, MEd, RRT-NPS","This advanced-level course is designed for the respiratory therapist with a desire to learn more about the development of the fetus, changes that occur during or shortly after birth, and how to assess and treat the newborn. This course starts with the development of the lungs, discussing the stages of development and lung growth, fetal lung fluid, and, of vital importance, surfactant. Lung development and fetal circulation are also covered. Fetal circulation is unique, with three shunts to aid in fetal development. During and shortly after delivery, many changes must occur to allow the neonate to smoothly transition to the outside world. It is important to know whether the fetus or mother is at risk for developing problems after birth in order to anticipate such issues."
"Management of Common Neuromuscular Disorders, 2nd Edition",https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"uly 25, 2018","uly 25, 2021","Tammy A. Miller MEd, RRT, CPFT","The purpose of this intermediate-level review course is to provide respiratory therapists with an overview of the definition, etiology, pathophysiology, and management of common neuromuscular disorders. A detailed discussion is provided for the 3 main neuromuscular disorders - Amyotrophic lateral sclerosis, Guillain-Barre Syndrome, and Myasthenia gravis. Other neuromuscular disorders included in this course are polio, muscular dystrophies, myopathies, and multiple sclerosis."
Lung Cancer,https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"pril 10, 2018","pril 10, 2021","Traci Marin, PhD, MPH, RRT, RPGST","This course presents an overview of lung cancer and updated information for respiratory therapists who work with people at risk for or those diagnosed with lung cancer. In addition, because lung cancer can be a chronic illness, many lung cancer survivors continue to need health care. Lung cancer research continues to focus on prevention, early screening methods, and more effective targeted treatments to improve outcomes and decrease the adverse effects of treatments. Rapid changes in cancer care make it imperative to have current information about prevention, detection, diagnosis, and treatment. Oncology-related resources for patients, families, and clinicians are also included."
Infectious Diseases Related to Domestic and International Travel,https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"anuary 10, 2018","anuary 10, 2021","Aimee D. Green, MAOM, BA, RRT, RCP","This intermediate course is designed for respiratory therapists who may encounter infectious diseases related to domestic and international travel. It begins with a discussion of human migration and the spread of diseases, including contributing factors to the spread of infectious diseases. The course then focuses on specific bacterial, viral, fungal, helminth, and other types of infections and diseases, including causes, transmission, clinical features, diagnosis, treatment, prevention, and control that may affect travelers."
Human Trafficking: Overview for Healthcare Professionals,https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"ebruary 28, 2018","ebruary 28, 2021",Audio Book Available | ,"This intermediate level course for healthcare professionals is an introduction into the complex crime of human trafficking, with a focus on sex and labor trafficking and the common symptoms and conditions that occur in trafficked persons. The course provides insights into the facts surrounding human trafficking and relevant health risks for the trafficked person."
Evidence-Based Strategies for Weaning From Mechanical Ventilation,https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"eptember 5, 2017","eptember 5, 2020","David W. Chang, EdD, RRT, CTTS, ","This course provides a comprehensive coverage of scientific and clinical evidence for successful weaning from mechanical ventilation for respiratory therapists. Major topics in this course include: indications for mechanical ventilation, factors affecting readiness for weaning, clinical considerations, criteria for weaning and discontinuance, monitoring parameters and adverse reactions, progressive withdrawal of mechanical ventilation, and spontaneous breathing trial (SBT), SBT procedures and SBT failure. Clinical practice exercise with discussion are also included at the end of this course. Pre-test and post-test questions are used to assess learning outcomes. A list of references is provided as a guide for additional reading."
"High-Frequency Ventilation of the Newborn, 2nd Edition",https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"ebruary 9, 2018","ebruary 9, 2021","Traci Marin, PhD, MPH, RRT, RPGST","This intermediate-level course is intended for respiratory therapists, nurses, and physicians. The purpose of this course is to introduce the basic principles behind the use of high-frequency ventilation to achieve optimal ventilation and oxygenation in the neonate. The major classifications of high-frequency ventilation (HFV) are discussed along with indications, advantages, disadvantages, and potential hazards associated with its application. Specific HFV strategies for various disease processes are presented, and the course follows with a case study to help bring the information together. This course is useful for clinicians interested in gaining foundational and updated knowledge about HFV use in the neonate."
"Ethical Practices with Older Adults, Revised Updated 1st Edition",https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"ebruary 9, 2018",", PhD, MSW, MA","Tennyson Dodd, BS, MTHS","The number of older adults (age 65 and older) living in the United States is growing rapidly. Almost 60 million older adults were living in the United States in 2016. This number is projected to rise to over 72 million by 2030, when approximately one in five U.S. residents will be age 65 or older. The rapid growth of the older population results from multiple factors including medical advances, life-prolonging technologies, and the aging of the Baby Boom generation (whose members began turning 65 years old in 2011). "
